ZipCode,City,MixedCity,StateCode,StateFIPS,County,MixedCounty,CountyFIPS,Latitude,Longitude,GMT,DST
00501,HOLTSVILLE,Holtsville,NY,36,SUFFOLK,Suffolk,103,40.8154,-73.0456,5,Y
00544,HOLTSVILLE,Holtsville,NY,36,SUFFOLK,Suffolk,103,40.8154,-73.0456,5,Y
00601,ADJUNTAS,Adjuntas,PR,72,ADJUNTAS,Adjuntas,001,18.196747,-66.736735,4,N
00602,AGUADA,Aguada,PR,72,AGUADA,Aguada,003,18.352927,-67.177532,4,N
00603,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.458585,-67.129867,4,N
00604,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.488773,-67.147741,4,N
00605,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.4289,-67.1538,4,N
00606,MARICAO,Maricao,PR,72,MARICAO,Maricao,093,18.166734,-66.939233,4,N
00610,ANASCO,Anasco,PR,72,ANASCO,Anasco,011,18.286779,-67.143877,4,N
00611,ANGELES,Angeles,PR,72,UTUADO,Utuado,141,18.2856,-66.9698,4,N
00612,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.388009,-66.665279,4,N
00613,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.4744,-66.7163,4,N
00614,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.4744,-66.7163,4,N
00616,BAJADERO,Bajadero,PR,72,ARECIBO,Arecibo,013,18.405484,-66.671233,4,N
00617,BARCELONETA,Barceloneta,PR,72,BARCELONETA,Barceloneta,017,18.429792,-66.558109,4,N
00622,BOQUERON,Boqueron,PR,72,CABO ROJO,Cabo Rojo,023,17.992876,-67.153699,4,N
00623,CABO ROJO,Cabo Rojo,PR,72,CABO ROJO,Cabo Rojo,023,18.083781,-67.152624,4,N
00624,PENUELAS,Penuelas,PR,72,PENUELAS,Penuelas,111,18.072797,-66.724825,4,N
00627,CAMUY,Camuy,PR,72,CAMUY,Camuy,027,18.425195,-66.867756,4,N
00631,CASTANER,Castaner,PR,72,LARES,Lares,081,18.224554,-66.867756,4,N
